Years,Months (MES),CADENA GENERAL,NAME,QUANTITY,VALUE,PRICE
2020,10,Medina,Sensibio Gel Moussant 200 ml,62,19508.92,314.66
2020,10,Medina,Sensibio Gel Moussant Tubo 100 ml,37,6060.23,163.79
2020,10,Medina,Sensibio H2O 100 ml,16,2413.76,150.86
2020,10,Medina,Sensibio H2O 250 ml,28,9534.56,340.52
2020,10,Medina,Sensibio H2O 500 ml,51,24181.14,474.14
2020,10,Medina,Sensibio H2O Bomba Inv 500 ml,24,12310.32,512.93
2020,10,Medina,Sensibio Light 40 ml,11,3556.08,323.28
2020,10,Otros,Atoderm Barra 150 gr,15,1523.31,101.554
2020,10,Otros,Atoderm Crema Tubo 200 ml,39,5612.91,143.9207692
2020,10,Otros,Atoderm Intensive Balsamo 200 ml,2,605.18,302.59
2020,10,Otros,Atoderm Intensive Gel Moussant 200 ml,1,196.55,196.55
2020,10,Otros,Cicabio Arnica+ 40 ml,1,257.76,257.76
2020,10,Otros,KIT Sebium H2O 250ml + Sebium H2O 250ml,1,391.38,391.38
2020,10,Otros,KIT Sensibio  H2O 500ml + 250ml,1,450.86,450.86
2020,10,Otros,Photoderm AR Spf 50+ 30 ml,2,801.72,400.86
2020,10,Otros,Photoderm M Spf 50+ 40 ml,3,1202.58,400.86
2020,10,Otros,Photoderm MAX Aquafluido Claro 40 ml,4,1327.6,331.9
2020,10,Otros,Photoderm MAX Aquafluido Dorado 40 ml,24,7965.6,331.9
2020,10,Otros,Photoderm MAX Aquafluido Neutro 40 ml,30,9957,331.9
2020,10,Otros,Photoderm MAX Crema 40 ml,1,235.34,235.34
2020,10,Otros,Photoderm MAX Spray Spf 50+ 400 ml,3,1650.86,550.2866667
2020,10,Otros,Photoderm Nude Touch Claro Spf 50+ 40 ml,10,4353.4,435.34
2020,10,Otros,Photoderm Nude Touch Dorado Spf 50+ 40 ml,2,870.68,435.34
2020,10,Otros,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,4,1741.36,435.34
2020,10,Otros,Photoderm Spot Age Spf 50+ 40 ml,1,400.86,400.86
2020,10,Otros,Sebium Barra 100 gr,5,568.12,113.624
2020,10,Otros,Sebium Gel Moussant 100 ml,53,8680.87,163.79
2020,10,Otros,Sebium Gel Moussant 200 ml,5,1481.04,296.208
2020,10,Otros,Sebium Gel Moussant 500 ml,3,1399.14,466.38
2020,10,Otros,Sebium Global 30 ml,4,1481.03,370.2575
2020,10,Otros,Sebium H2O 100 ml,5,754.3,150.86
2020,10,Otros,Sebium H2O 250 ml,1,340.52,340.52
2020,10,Otros,Sebium Hydra 40 ml,5,1635.33,327.066
2020,10,Otros,Sebium Pore Refiner 30 ml,11,5066.4,460.5818182
2020,10,Otros,Sensibio AR 40 ml,3,1130.16,376.72
2020,10,Otros,Sensibio Gel Contorno de Ojos 15 ml,3,918.09,306.03
2020,10,Otros,Sensibio Gel Moussant 200 ml,3,897.42,299.14
2020,10,Otros,Sensibio Gel Moussant Tubo 100 ml,8,1310.32,163.79
2020,10,Otros,Sensibio H2O 100 ml,10,1508.6,150.86
2020,10,Otros,Sensibio H2O 250 ml,6,2043.12,340.52
2020,10,Otros,Sensibio H2O 500 ml,9,4243.98,471.5533333
2020,10,Otros,Sensibio Light 40 ml,1,307.76,307.76
2020,10,RFP,Atoderm Barra 150 gr,41,3595.619,87.69802439
2020,10,RFP,Atoderm Crema Tubo 200 ml,18,1997.8786,110.9932556
2020,10,RFP,Atoderm Intensive Balsamo 200 ml,12,3146.4571,262.2047583
2020,10,RFP,Atoderm Intensive Balsamo 500 ml,5,2138.37,427.674
2020,10,RFP,Atoderm Intensive Balsamo 75 ml,5,789.22,157.844
2020,10,RFP,Cicabio Crema 40 ml,1,282.33,282.33
2020,10,RFP,KIT Sebium P. Refiner 30ml+ Sebium Gel 100ml,4,1772.4,443.1
2020,10,RFP,KIT Sensibio  Gel M. 200ml + Sensibio  H2O 100ml,1,298.28,298.28
2020,10,RFP,KIT Sensibio  H2O 500ml + 250ml,10,4379.3,437.93
2020,10,RFP,Photoderm AR Spf 50+ 30 ml,1,406.9,406.9
2020,10,RFP,Photoderm Crema Dorado Spf 50+ 40 ml,12,3700.9172,308.4097667
2020,10,RFP,Photoderm M Spf 50+ 40 ml,10,3913.7986,391.37986
2020,10,RFP,Photoderm MAX Aquafluido Claro 40 ml,15,4622.0075,308.1338333
2020,10,RFP,Photoderm MAX Aquafluido Dorado 40 ml,30,9219.7682,307.3256067
2020,10,RFP,Photoderm MAX Aquafluido Neutro 40 ml,8,2456.884,307.1105
2020,10,RFP,Photoderm MAX Crema 40 ml,4,1256.04,314.01
2020,10,RFP,Photoderm MAX Leche Spf 50+ 100 ml,2,753.44,376.72
2020,10,RFP,Photoderm MAX Spray Spf 50+ 400 ml,16,7709.234,481.827125
2020,10,RFP,Photoderm Nude Touch Claro Spf 50+ 40 ml,8,3262.0786,407.759825
2020,10,RFP,Photoderm Nude Touch Dorado Spf 50+ 40 ml,8,3343.0505,417.8813125
2020,10,RFP,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,5,2074.1434,414.82868
2020,10,RFP,Photoderm Spot Age Spf 50+ 40 ml,3,1241.3834,413.7944667
2020,10,RFP,Sebium Barra 100 gr,7,624.54,89.22
2020,10,RFP,Sebium Gel Moussant 100 ml,144,17826.622,123.7959861
2020,10,RFP,Sebium Gel Moussant 200 ml,20,5251.6736,262.58368
2020,10,RFP,Sebium Gel Moussant 500 ml,10,4642.2,464.22
2020,10,RFP,Sebium Gel Moussant Tubo 200 ml,18,4391.342,243.9634444
2020,10,RFP,Sebium Global 30 ml,7,2671.5579,381.6511286
2020,10,RFP,Sebium H2O 100 ml,28,3319.032,118.5368571
2020,10,RFP,Sebium H2O 250 ml,8,2217.2102,277.151275
2020,10,RFP,Sebium H2O 500 ml,6,1737.92,289.6533333
2020,10,RFP,Sebium H2O Bomba Inv 500 ml,7,3391.36,484.48
2020,10,RFP,Sebium Pore Refiner 30 ml,7,3074.5896,439.2270857
2020,10,RFP,Sensibio AR 40 ml,10,3919.82,391.982
2020,10,RFP,Sensibio Ds+ Crema 40 ml,1,344.83,344.83
2020,10,RFP,Sensibio Gel Contorno de Ojos 15 ml,4,1193.12,298.28
2020,10,RFP,Sensibio Gel Moussant 200 ml,25,8038.793,321.55172
2020,10,RFP,Sensibio H2O 100 ml,105,13470.0686,128.2863676
2020,10,RFP,Sensibio H2O 250 ml,28,8040.9038,287.1751357
2020,10,RFP,Sensibio H2O 500 ml,20,8832.8,441.64
2020,10,RFP,Sensibio H2O Bomba Inv 500 ml,8,3984.0417,498.0052125
2020,10,RFP,Sensibio Light 40 ml,10,3087.01,308.701
2020,10,Sanborns,ABCDerm H2O 1 l,2,839.66,419.83
2020,10,Sanborns,Atoderm Barra 150 gr,22,1899.3,86.33181818
2020,10,Sanborns,Atoderm Crema Tubo 200 ml,55,6859.46,124.7174545
2020,10,Sanborns,Atoderm Gel Ducha 500 ml,1,341.38,341.38
2020,10,Sanborns,Atoderm Intensive Balsamo 200 ml,6,1595,265.8333333
2020,10,Sanborns,Atoderm Intensive Balsamo 500 ml,1,425,425
2020,10,Sanborns,Atoderm Intensive Balsamo 75 ml,5,741.4,148.28
2020,10,Sanborns,Atoderm Intensive Gel Moussant 200 ml,2,356.9,178.45
2020,10,Sanborns,Atoderm SOS Spray 200 ml,1,408.62,408.62
2020,10,Sanborns,Atoderm SOS Spray 50 ml,1,222.41,222.41
2020,10,Sanborns,Cicabio Crema 40 ml,3,822.41,274.1366667
2020,10,Sanborns,KIT Photoderm Aqua. Claro +Sensibio  H20 100ml,15,5022.34,334.8226667
2020,10,Sanborns,KIT Photoderm Aqua. Dor. + Sensibio  H20 100ml,6,1988.71,331.4516667
2020,10,Sanborns,KIT Photoderm Aqua. Neutro +Sensibio  H2O 100ml,12,3980.8,331.7333333
